name,name_en,category,district,opening_hours,best_time_slot,avg_stay_minutes,ticket_hkd,notes,nearby_mtr_or_bus,access,travel_time_hints,geo_hint,url,latitude,longitude
太平山頂,Victoria Peak,Scenic Viewpoint,Central & Western,24 hours (Sky Terrace 10:00–23:00),Sunset / Night,90,0–88,"Peak Tram (paid), panoramic views","Central MTR, Peak Tram",Peak Tram from Central or Bus 15 from Exchange Square,Allow 30–40 min from Central by tram/bus,HK Island west,https://www.thepeak.com.hk,22.2759,114.1455
山頂纜車,Peak Tram,Transport/Attraction,Central & Western,07:00–23:00 (varies),Morning & Sunset,30,88 (round-trip premium),Historic funicular to The Peak,Central MTR,Board at Garden Road terminus,Queue common at peak times,Hong Kong Island,https://www.thepeak.com.hk/peak-tram,22.281,114.1588
中環碼頭,Central Ferry Piers / Star Ferry,Harbour Transport & Sightseeing,Central / Tsim Sha Tsui,06:00–00:30 (Star Ferry),Sunset / Night,30,2.7–3.7,Classic harbour crossing between Central and TST,Central / Tsim Sha Tsui MTR & ferry piers,Star Ferry from Central Pier to Tsim Sha Tsui,Short 10–15 min scenic crossing,Victoria Harbour,https://www.starferry.com.hk,22.2869,114.1558
太平山凌霄閣觀景台,Sky Terrace 428,Scenic Viewpoint,Central & Western,10:00–23:00,Sunset & Night,45,50–100,Observation deck at The Peak Tower,"Central MTR, Peak Tram",Access via Peak Tower,Arrive 30–60 min before sunset for best views,Peak complex,https://www.thepeak.com.hk/sky-terrace,22.276,114.1446
香港公園,Hong Kong Park,Urban Park,Central & Western,06:00–23:00,Morning / Afternoon,60,0,"Includes Flagstaff House Museum of Tea Ware, aviary",Central MTR / Admiralty,Walk from Central/Admiralty,Easy 10–15 min walk from Central,"Central, Hong Kong Island",https://www.lcsd.gov.hk/en/parks/hkp/index.html,22.2796,114.1567
香港動植物公園,Hong Kong Zoological and Botanical Gardens,Park / Gardens,Central & Western,06:30–20:00,Morning,60,0,Historic gardens with small zoo exhibits,Central / Sheung Wan MTR,Walkable from Central / Ladder Hill,Good for 30–60 minute visit,Central area,https://www.lcsd.gov.hk/en/parks/zoo/index.html,22.2817,114.154
黃大仙祠,Wong Tai Sin Temple,Religious / Cultural,Wong Tai Sin,06:00–17:30,Morning,45,0,Famous for wish-making and geomancy,Wong Tai Sin MTR,Exit near temple,Expect crowds on weekends & festivals,Kowloon,https://www.hongkongextras.com/wong_tai_sin_temple.html,22.341,114.1945
尖沙咀海濱長廊,Tsim Sha Tsui Promenade,Promenade / Harbour,Yau Tsim Mong,24 hours,Sunset & Night,60,0,Includes Avenue of Stars (reopened sections) and Clock Tower,Tsim Sha Tsui MTR / East Tsim Sha Tsui MTR,Walk along the waterfront,Best at sunset for skyline views,Victoria Harbour (Kowloon side),https://www.discoverhongkong.com/eng/see-do/highlight-attractions/avenue-of-stars.html,22.2933,114.1722
星光大道 (重開部分),Avenue of Stars,Heritage Promenade,Yau Tsim Mong,10:00–22:00 (varies),Sunset,30,0,Tribute to Hong Kong film industry (reopened sections),Tsim Sha Tsui MTR,Along TST Promenade,Combine with Museum visits,TST waterfront,https://www.discoverhongkong.com/eng/see-do/highlight-attractions/avenue-of-stars.html,22.2933,114.1708
九龍公園,Kowloon Park,Urban Park,Yau Tsim Mong,06:00–23:00,Morning / Afternoon,60,0,"Large park with bird lake, aviary and sports facilities",Tsim Sha Tsui MTR / Jordan MTR,Walkable from TST station,Great for relaxing between shopping trips,Kowloon,https://www.lcsd.gov.hk/en/parks/kp/index.html,22.303,114.1708
天星小輪碼頭,Star Ferry Pier (TST),Transport / Sightseeing,Yau Tsim Mong,06:00–00:30,Evening / Night,30,3–3.7,Iconic harbour ferry,Tsim Sha Tsui MTR,Short walk to pier,Frequent crossings every 10–20 min,Victoria Harbour,https://www.starferry.com.hk,22.2936,114.1703
香港文化中心,Hong Kong Cultural Centre,Performing Arts Venue,Yau Tsim Mong,Event-based hours,Evening,120,Varies,Major performance venue on TST waterfront,Tsim Sha Tsui MTR,Walk from TST promenade,Check event schedules,TST waterfront,https://www.lcsd.gov.hk/en/ls_fac/culturalcc/index.html,22.2968,114.1713
香港歷史博物館,Hong Kong Museum of History,Museum,Yau Tsim Mong,10:00–18:00 (closed Tue),Morning / Afternoon,90,10–20,Comprehensive Hong Kong history exhibits,Tsim Sha Tsui MTR / Jordan MTR,Short walk from TST or Mong Kok,Allow 1.5–2 hours,TST area,https://hk.history.museum/en_US/web/mh/index.html,22.2956,114.1722
香港科學館,Hong Kong Science Museum,Museum,Kowloon City,10:00–18:00 (closed Tue),Afternoon,90,20–30,Interactive exhibits and OMNIMAX shows,Mong Kok East / Tsim Sha Tsui MTR,Walk or bus from MTR,Popular with families,Tsim Sha Tsui East,https://www.lcsd.gov.hk/en/scm/index.html,22.3,114.1796
九龍寨城公園,Kowloon Walled City Park,Heritage Park,Kowloon City,06:00–23:00,Morning,45,0,Historic park built on former Walled City site,Lok Fu / Kowloon City nearby buses,Access by bus / short walk from Lok Fu,Combine with nearby heritage sites,Kowloon City,https://www.discoverhongkong.com/eng/see-do/great-outdoor/kowloon-walled-city-park.html,22.3354,114.1891
昂坪360,Ngong Ping 360,Cable Car / Attraction,Islands (Lantau),10:00–18:30 (varies),Morning,120,120–200,Cable car to Ngong Ping and Tian Tan Buddha,Tung Chung MTR then bus/cable car,Allow 60–120 min from Tung Chung,Lantau Island,,https://www.np360.com.hk,22.2538,113.9073
天壇大佛,Tian Tan Buddha (Big Buddha),Religious / Landmark,Islands (Lantau),09:00–18:00,Morning,90,0–35,Iconic outdoor Buddha at Ngong Ping (stairs up),Ngong Ping / Tung Chung bus,Combine with Po Lin Monastery,Allow 1–2 hours for climb and views,Ngong Ping plateau,https://www.plm.org.hk/en,22.255,113.915
寶蓮禪寺,Po Lin Monastery,Religious / Heritage,Islands (Lantau),09:00–17:30,Morning,60,0,Historic Buddhist monastery beside Tian Tan Buddha,Ngong Ping 360 / bus,Often visited together with Big Buddha,Lantau,,https://www.plm.org.hk/en,22.2555,113.9148
大澳漁村,Tai O Fishing Village,Heritage Village,Islands (Lantau),All day (shops hours vary),Morning / Afternoon,120,0,"Traditional stilt houses, boat tours and salted fish markets",Tung Chung bus then bus/boat,Allow 90–150 min from Tung Chung,West Lantau,,https://www.discoverhongkong.com/eng/see-do/great-outdoor/tai-o.html,22.2576,113.8669
香港迪士尼樂園,Hong Kong Disneyland,Theme Park,Islands (Lantau),Typically 10:00–20:00 (varies),Daytime,360,From 399–699 (varies),Major international theme park,Sunny Bay / Disneyland Resort Line,Use MTR Disneyland Resort Line (Sunny Bay transfer),Allow full day for park,Lantau Island,https://www.hongkongdisneyland.com,22.3139,114.0414
海洋公園,Ocean Park Hong Kong,Theme Park / Marine,Southern District (Wong Chuk Hang),10:00–18:00 (varies),Daytime,240,From 320 (varies),Large marine and theme park with animal exhibits,Ocean Park MTR (South Island Line) / Bus,Allow half to full day,Southern HK Island,,https://www.oceanpark.com.hk,22.2435,114.1821
大帽山郊野公園,Tai Mo Shan Country Park,Country Park / Hike,Sha Tin / Tsuen Wan,24 hours,Morning,180,0,"Highest peak in Hong Kong, hiking trails and views",Tai Mo Shan Road access / bus,Allow 2–4 hours for summit hike,New Territories north-west,,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis.html,22.249,114.1284
龍脊行山徑,Dragon's Back,Hiking Trail,Southern District (Shek O),24 hours,Morning,120,0,Popular urban hike with sea views,Shau Kei Wan / Chai Wan MTR + bus,Allow 2–3 hours including transport,HK Island east coast,,https://www.discoverhongkong.com/eng/see-do/great-outdoor/hiking/dragons-back.html,22.247,114.236
大浪灣 (西貢),Tai Long Wan (Sai Kung),Beach / Hiking,Sai Kung,All day,Morning / Afternoon,240,0,Renowned for white sand beaches and surf spots,Sai Kung town then minibus/boat,Boat or hiking approach adds travel time,Sai Kung peninsula,,https://www.discoverhongkong.com/eng/see-do/great-outdoor/sai-kung-tai-long-wan.html,22.38,114.318
赤柱市場與淺水灣,Stanley Market & Repulse Bay,Shopping / Beach,Southern District,Market: 10:00–18:00; Beach: all day,Morning / Afternoon,180,0,Popular market and beaches on southern HK Island,Stanley bus from Central / Repulse Bay bus,Allow 30–45 min from Central by bus,Southern HK Island,,https://www.discoverhongkong.com/eng/see-do/great-outdoor/stanley.html,22.2175,114.1996
大埔滘自然護理區,Tai Po Kau Nature Reserve,Nature Reserve,Tai Po,24 hours,Morning,120,0,Forest trails and birdwatching,Tai Po Market MTR then bus/taxi,Good for half-day nature walk,New Territories,,https://www.afcd.gov.hk/english/country/cou_vis/cou_vis.html,22.446,114.164
香港文化博物館,Hong Kong Heritage Museum,Museum,Sha Tin,10:00–18:00,Afternoon,120,20,Large cultural & heritage museum in Sha Tin,Sha Tin MTR + bus,Allow 2–3 hours,Sha Tin,,https://www.heritagemuseum.gov.hk,22.381,114.1857
海事博物館,Hong Kong Maritime Museum,Museum,Central / TST (by TST Pier),10:00–18:00 (varies),Morning / Afternoon,90,30–80,Exhibits on Hong Kong's maritime history,Central/Central Piers access,Check website for ticket info,Central waterfront,,https://www.hkmaritimemuseum.org,22.2938,114.1703
茶具文物館,Flagstaff House Museum of Tea Ware,Museum,Central,10:00–17:00 (closed Mon),Morning,45,10,Located in Hong Kong Park; tea ware collection,Central MTR,Inside Hong Kong Park,Short visit combined with park,,https://www.lcsd.gov.hk/en/museums/fe/about/index.html,22.2793,114.1569
香港海防博物館,Hong Kong Museum of Coastal Defence,Museum,Southern / Shau Kei Wan,10:00–18:00 (closed Mon),Morning,60,10–20,Fortress museum covering coastal defence history,Shau Kei Wan MTR + bus,Located at Shau Kei Wan,Check ferry/transport options,,https://www.lcsd.gov.hk/en/museums/hk_museum_of_coastal_defence/,22.2818,114.2137
